Performance,RT,ProbRatio,NumRatio,DenRatio,AreaCtl,WinSide1,WinSide2,DenSide1,DenSide2,ProbSide1,ProbSide2,sideR,subID
0,0.27067,0.66667,0.55556,0.83333,2,9,5,24,20,0.375,0.25,2,1
0,0.30162,0.8,1,0.8,1,3,3,15,12,0.2,0.25,1,1
1,0.22963,0.8,0.33333,0.26667,2,3,1,15,4,0.2,0.25,2,1
0,0.25095,0.8,0.4,0.5,1,4,10,16,32,0.25,0.3125,1,1
0,0.22565,0.66667,0.375,0.5625,2,8,3,32,18,0.25,0.16667,2,1
1,0.2594,1,0.61538,0.61538,1,8,13,16,26,0.5,0.5,1,1
0,0.5509,0.8,0.71429,0.57143,2,21,15,28,16,0.75,0.9375,1,1
0,0.40602,1,0.75,0.75,2,3,4,6,8,0.5,0.5,2,1
1,0.3486,0.5,0.2,0.4,1,3,15,8,20,0.375,0.75,2,1
1,0.43937,0.5,1,0.5,2,2,2,8,4,0.25,0.5,2,1
0,0.35392,1,0.5,0.5,1,4,8,16,32,0.25,0.25,2,1
0,0.34049,1,0.38462,0.38462,2,5,13,10,26,0.5,0.5,2,1
0,0.385,1,0.25,0.25,2,6,24,8,32,0.75,0.75,2,1
1,0.36311,0.66667,0.5,0.75,1,3,6,12,16,0.25,0.375,2,1
1,0.37878,0.66667,0.25,0.375,2,2,8,6,16,0.33333,0.5,2,1
1,0.4589,0.5,1,0.5,1,9,9,12,24,0.75,0.375,1,1
0,0.32988,0.5,1,0.5,1,6,6,24,12,0.25,0.5,1,1
0,0.38442,0.5,0.5,0.25,2,6,12,8,32,0.75,0.375,2,1
1,0.40139,0.5,0.42857,0.21429,2,7,3,28,6,0.25,0.5,2,1
0,0.37121,0.66667,0.83333,0.8,1,5,6,10,8,0.5,0.75,1,1
1,0.30489,0.66667,0.64286,0.42857,2,14,9,28,12,0.5,0.75,2,1
1,0.33192,0.66667,1,0.66667,2,6,6,12,8,0.5,0.75,2,1
1,0.33789,0.8,0.4,0.5,1,12,30,16,32,0.75,0.9375,2,1
1,0.53427,0.5,0.42857,0.85714,2,9,21,24,28,0.375,0.75,2,1
0,0.36907,0.5,0.5,0.25,2,3,6,6,24,0.5,0.25,2,1
1,0.32518,0.8,0.3,0.375,1,30,9,32,12,0.9375,0.75,1,1
0,0.36362,0.8,0.71429,0.57143,1,21,15,28,16,0.75,0.9375,1,1
1,0.27913,0.8,0.71429,0.57143,1,21,15,28,16,0.75,0.9375,2,1
0,0.46173,0.8,0.83333,0.66667,2,18,15,24,16,0.75,0.9375,1,1
0,0.33895,0.8,0.7,0.875,2,10,7,32,28,0.3125,0.25,2,1
0,0.30993,0.66667,0.54545,0.36364,2,11,6,22,8,0.5,0.75,1,1
1,0.38259,0.66667,1,0.66667,2,3,3,8,12,0.375,0.25,1,1
1,0.38326,0.8,0.66667,0.83333,1,15,10,30,25,0.5,0.4,1,1
1,0.4207,0.8,1,0.8,2,15,15,16,20,0.9375,0.75,1,1
0,0.54252,1,0.28571,0.28571,2,4,14,8,28,0.5,0.5,2,1
1,0.40813,0.66667,0.4,0.26667,1,6,15,8,30,0.75,0.5,1,1
1,0.65232,0.5,0.71429,0.35714,1,5,7,10,28,0.5,0.25,1,1
0,0.42359,1,1,1,2,3,3,6,6,0.5,0.5,2,1
1,0.34784,1,0.13333,0.13333,1,15,2,30,4,0.5,0.5,1,1
0,0.42914,0.66667,1,0.66667,1,3,3,8,12,0.375,0.25,2,1
1,0.32105,1,0.8,0.8,2,4,5,16,20,0.25,0.25,1,1
1,0.338,0.5,0.25,0.5,1,6,24,16,32,0.375,0.75,2,1
1,0.35842,0.66667,0.88889,0.75,2,9,8,12,16,0.75,0.5,1,1
1,0.46096,1,0.8,0.8,2,15,12,30,24,0.5,0.5,1,1
1,0.37721,1,1,1,2,3,3,4,4,0.75,0.75,1,1
0,0.42058,1,0.125,0.125,2,8,1,32,4,0.25,0.25,2,1
1,0.44823,1,0.75,0.75,1,6,8,24,32,0.25,0.25,1,1
1,0.37894,0.5,1,0.5,2,12,12,16,32,0.75,0.375,1,1
1,0.34973,1,0.75,0.75,1,12,9,16,12,0.75,0.75,1,1
1,0.47436,1,1,1,1,2,2,8,8,0.25,0.25,1,1
0,0.39707,1,0.28571,0.28571,2,6,21,8,28,0.75,0.75,2,1
1,0.46036,1,1,1,2,1,1,4,4,0.25,0.25,1,1
1,0.37945,0.66667,0.85714,0.57143,1,6,7,16,28,0.375,0.25,1,1
1,0.32225,0.8,0.66667,0.53333,1,3,2,15,8,0.2,0.25,2,1
